Ó¢ÐÛid	ËùÊô½ÇÉ«	½ÇÉ«Ãû×Ö	ÐÔ±ð	Ä£ÐÍÃû³Æ	Í·ÏñÃû³Æ	Ö°Òµ	ÕóÓª	³õÊ¼ÐÇ¼¶	Æ·½×	ÏÂ½×¶Î±àºÅ	Í»ÆÆËùÐèµÈ¼¶	Í»ÆÆÐèÒªÎïÆ·	Í»ÆÆÐèÒª½ðÇ®	½Úµã1Ãû³Æ	½Úµã2Ãû³Æ	½Úµã3Ãû³Æ	½Úµã4Ãû³Æ	½Úµã5Ãû³Æ	½Úµã6Ãû³Æ	½Úµã1Í¼±ê	½Úµã2Í¼±ê	½Úµã3Í¼±ê	½Úµã4Í¼±ê	½Úµã5Í¼±ê	½Úµã6Í¼±ê	½Úµã1ÊôÐÔ	½Úµã2ÊôÐÔ	½Úµã3ÊôÐÔ	½Úµã4ÊôÐÔ	½Úµã5ÊôÐÔ	½Úµã6ÊôÐÔ	»ù´¡ÆøÑª	»ù´¡¹¥»÷	»ù´¡Îï·À	·¨ÊõÇ¿¶È	»ù´¡·¨·À	ÆÆ¼×	´©Í¸	±©»÷	¿¹±©	ÃüÖÐ	ÉÁ±Ü	¹¥»÷ËÙ¶È	ÎüÑª	ÉËº¦¼õÃâ	ÖÎÁÆ¼Ó³É	¹¥ËÙ¼Ó³É°Ù·Ö±È	ÎüÑªÂÊ	ÃâÉËÂÊ	ÖÎÁÆ¼Ó³ÉÂÊ	·¨Ç¿ÏµÊý	³ÐÊÜÉËº¦¼¼ÄÜµã	ÒÆ¶¯ËÙ¶È	¼¼ÄÜ1	¼¼ÄÜ2	¼¼ÄÜ3	¼¼ÄÜ4	¼¼ÄÜ5	¼¼ÄÜ6	¼¼ÄÜ99	ÅÅÐòÈ¨ÖØ	ÆÕÍ¨¹¥»÷																												
id	heroId	name	sex	model	icon	career	camp	star	quality	nextId	nextLv	nextItem	nextGold	pName1	pName2	pName3	pName4	pName5	pName6	pIcon1	pIcon2	pIcon3	pIcon4	pIcon5	pIcon6	pointPro1	pointPro2	pointPro3	pointPro4	pointPro5	pointPro6	hpBase	attBase	defBase	magicStr	wisBase	breakArm	penetrate	cri	defCri	hit	evaBase	attSpe	suckBlood	harmReduce	cureAdd	attSpeProp	suckBloodProp	harmReduceProp	cureAddtion	attWeight	harmSkillRatio	spe	skill1	skill2	skill3	skill4	skill5	skill6	skill99	weight	skill0																												
101011	101	ËÀÆï	1	iceking01	101011	1	4	3	1	101012	12	121051&30;121011&1	5000	ÆÆÊÆ	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	²»Ãð	pp7	pp6	pp15	pp14	pp11	pp10	4;300;hpBase&265,attBase&22,defBase&7,wisBase&7,breakArm&20	10;400;hpBase&265,attBase&22,defBase&7,wisBase&7,cri&10	0	0	0	0	180	14	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10101	10102	10105	10111	10104	10103	19999	1	10100																												
101012	101	ËÀÆï	1	iceking01	101011	1	4	3	2	101013	20	121051&100;121012&3	10000	ÆÆÊÆ	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	²»Ãð	pp7	pp6	pp15	pp14	pp11	pp10	14;500;hpBase&530,attBase&44,defBase&14,wisBase&14,breakArm&40	15;600;hpBase&530,attBase&44,defBase&14,wisBase&14,cri&20	17;700;hpBase&530,attBase&44,defBase&14,wisBase&14,hit&50	0	0	0	710	58	18	0	18	20	0	10	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10101	10102	10105	10111	10104	10103	19999	2	10100																												
101013	101	ËÀÆï	1	iceking02	101011	1	4	3	3	101014	33	121051&300;121013&15	20000	ÆÆÊÆ	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	²»Ãð	pp7	pp6	pp15	pp14	pp11	pp10	22;1000;hpBase&795,attBase&66,defBase&21,wisBase&21,breakArm&80	23;1200;hpBase&795,attBase&66,defBase&21,wisBase&21,cri&40	25;1400;hpBase&795,attBase&66,defBase&21,wisBase&21,hit&50	27;1600;hpBase&795,attBase&66,defBase&21,wisBase&21,defCri&30	29;1800;hpBase&795,attBase&66,defBase&21,wisBase&21,harmReduceProp&0.05	31;2000;hpBase&795,attBase&66,defBase&21,wisBase&21,suckBloodProp&0.06	2300	190	60	0	60	60	0	30	0	50	0	0	0	0	0	0	0	0	0	0	20	6	10101	10102	10105	10111	10104	10103	19999	3	10100																												
101014	101	ËÀÆï	1	iceking02	101011	1	4	3	4	101015	48	121051&500;121014&20	40000	ÆÆÊÆ	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	²»Ãð	pp7	pp6	pp15	pp14	pp11	pp10	35;3000;hpBase&1060,attBase&88,defBase&28,wisBase&28,breakArm&90	37;3200;hpBase&1060,attBase&88,defBase&28,wisBase&28,cri&58	39;3400;hpBase&1060,attBase&88,defBase&28,wisBase&28,hit&100	42;3600;hpBase&1060,attBase&88,defBase&28,wisBase&28,defCri&34	44;3800;hpBase&1060,attBase&88,defBase&28,wisBase&28,harmReduceProp&0.1	46;4000;hpBase&1060,attBase&88,defBase&28,wisBase&28,suckBloodProp&0.07	7070	586	186	0	186	140	0	70	30	100	0	0	0	0	0	0	0.06	0.05	0	0	20	6	10101	10102	10105	10111	10104	10103	19999	4	10100																												
101015	101	ËÀÆï	1	iceking03	101011	1	4	3	5	0	0	0	0	ÆÆÊÆ	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	²»Ãð	pp7	pp6	pp15	pp14	pp11	pp10	50;5000;hpBase&1325,attBase&110,defBase&35,wisBase&35,breakArm&100	52;5200;hpBase&1325,attBase&110,defBase&35,wisBase&35,cri&72	54;5400;hpBase&1325,attBase&110,defBase&35,wisBase&35,hit&160	56;5600;hpBase&1325,attBase&110,defBase&35,wisBase&35,defCri&36	58;5800;hpBase&1325,attBase&110,defBase&35,wisBase&35,harmReduceProp&0.1	60;6000;hpBase&1325,attBase&110,defBase&35,wisBase&35,suckBloodProp&0.07	13430	1114	354	0	354	230	0	128	64	200	0	0	0	0	0	0	0.13	0.15	0	0	20	6	10101	10102	10105	10111	10104	10103	19999	5	10100																												
101021	102	µç¹âÈË	1	flashman01	101021	3	5	1	1	101022	12	121051&30;121021&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	4;300;hpBase&138,attBase&22,defBase&3,magicStr&33,wisBase&5,penetrate&24	10;400;hpBase&138,attBase&22,defBase&3,magicStr&33,wisBase&5,evaBase&10	0	0	0	0	62.7	14	1.97	21	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	20	6	10201	10202	10203	10211	10204	10212	19999	6	10200																												
101022	102	µç¹âÈË	1	flashman01	101021	3	5	1	2	101023	20	121051&100;121022&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	14;500;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,penetrate&48	15;600;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,evaBase&15	17;700;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,cri&60	0	0	0	338.7	58	7.97	87	12.2	0	24	0	0	0	10	0	0	0	0	0	0	0	0	0.6	20	6	10201	10202	10203	10211	10204	10212	19999	7	10200																												
101023	102	µç¹âÈË	1	flashman02	101021	3	5	1	3	101024	33	121051&300;121023&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	22;1000;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,penetrate&96	23;1200;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,evaBase&25	25;1400;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,cri&80	27;1600;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,hit&150	29;1800;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,defCri&30	31;2000;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,defCri&60	1166.7	190	25.97	285	42.2	0	72	60	0	0	25	0	0	0	0	0	0	0	0	0.6	20	6	10201	10202	10203	10211	10204	10212	19999	8	10200																												
101024	102	µç¹âÈË	1	flashman02	101021	3	5	1	4	101025	48	121051&500;121024&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	35;3000;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,penetrate&108	37;3200;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,evaBase&50	39;3400;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,cri&116	42;3600;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,hit&150	44;3800;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,defCri&34	46;4000;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,defCri&68	3650.7	586	79.97	879	132.2	0	168	140	90	150	50	0	0	0	0	0	0	0	0	0.6	20	6	10201	10202	10203	10211	10204	10212	19999	9	10200																												
