关卡id	副本类型	关卡地形	关卡类型	章节（玩法）	关卡	章节（顺序）	前置关卡	大章名	关卡名称	关卡描述	关卡图标	首次通关送魂石	首次通关奖励	小怪id	精英id	BOSS id	陷阱id	npcId	寻路建筑Id	不寻路建筑Id	推荐战力	可否重复打	是否评星	开启等级	次数	魔晶掉落	金币掉落	道具掉落1	道具掉落2	道具掉落3	道具掉落4	道具掉落5	道具掉落6	召唤师经验	英雄经验	消耗体力	任务名称1	任务名称2	任务名称3	游戏失败原因	胜利触发教程	失败触发教程	开始战斗图片	剧情数据	镜头动画数据	副本气泡
id	type	terrain	scenetype	chapter	checkpoint	chapter1	prepoint	chapterName	name	descript	image	firstPassStone	firstPassDrop	xiaoguaiId	jingyingId	bossId	xianjingId	npcId	xunluId	buxunluId	fightVal	replay	isStar	reqlv	times	magicstone	dropGold	dropItem1	dropItem2	dropItem3	dropItem4	dropItem5	dropItem6	userExp	heroExp	cost	taskName1	taskName2	taskName3	GameFail	winTeachId	loseTeachId	startFightIcon	uiStoryData	cameraAnData	arrow
1	0	teach00_00	Teach	0	0	0	0	0						300001,300002,300003		300000,300004					0	0	0	0	0	0	0							0	0	0										
10100	1	level01_00	Level	1	0	1	0	第1章	废城历险01	0	iconHQ_01			101001	101003						42	1	1	1	99	5	800		110301&50&1				121998&20&1,123001&5&1	6	24	6	击杀爆炸艺术家	没有英雄死亡	3分钟内通关	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	2_win	mission_fail	label_mission17	a&101001,b&101003	0	
10101	1	level01_02	Level	1	1	1	10100	第1章	废城历险02	0	iconHQ_01			101013,101014	101016						43	0	0	1	99	5	800	121051&100&4	110201&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	4_win	mission_fail	label_mission17	a&101011,b&101012,c&101013,d&101014	a	
10102	1	level01_02	Level	1	2	1	10101	第1章	废城历险03	0	iconHQ_01			101001,101002	101011						44	0	0	1	99	5	800	121051&100&4	110101&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！	7_win	mission_fail	label_mission17	a&101021,b&101022	a	
10103	1	level01_03	Level	1	3	1	10102	第1章	废城历险04	0	iconHQ_01			101031,101032	101039						123	1	1	1	99	5	800		110001&50&1				121998&20&1,123001&5&1	6	24	6	击杀全部怪物	收集6颗龙珠	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission16	a&101031,b&101032	0	即将解锁|英雄进阶;3&button_add
10104	1	level01_02	Level	1	4	1	10103	第1章	废城历险05	0	iconHQ_01			101048		101047					130	0	0	1	99	5	800	121051&100&4	110001&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101041,b&101042,c&101043	a	即将解锁|英雄进阶;3&button_add
10105	1	level01_02	Level	1	5	1	10104	第1章	废城历险06	0	iconHQ_01			101041,101042,101057		101056					135	0	0	1	99	5	800	121051&100&4	110301&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101051,b&101052	0	即将解锁|英雄进阶;3&button_add
10106	1	level01_06	Guard	1	6	1	10105	第1章	废城历险07	0	iconHQ_01			101041,101042,101064	101063				101068		195	1	1	1	99	5	800		110201&50&1				121998&20&1,123001&5&1	6	24	6	保护轮回咒师	NPC血量高于20%	没有英雄死亡	1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！;5,轮回咒师已被敌人击杀！	12_win		label_mission15	a&101061,b&101062	0	即将解锁|英雄进阶;3&button_add
10107	1	level01_02	Level	1	7	1	10106	第1章	废城历险08	0	iconHQ_01			101061,101062	101071						205	0	0	1	99	5	800	121051&100&4	110401&100&1				121998&20&1,123001&5&1	6	24	6	击杀守关精英			1,惨烈！您的英雄全部阵亡！;2,您的时间余额不足，请速战速决！			label_mission17	a&101071	a	通关战场|集齐全套装备;3&button_put_down
