技能ID	技能名称	图标	技能描述	技能等级上限	技能每N级可提升一级	技能升级时金币消耗值	技能短描述	技能升级描述	技能类型	打击类型	法术初始值	法术权重	释放技能获得能量点	技能点消耗	施法距离	作用范围	初始CD	冷却时间	触发功能概率	功能1ID	功能1概率	功能1字段1	功能1字段2	功能1字段3	功能1字段4	功能2ID	功能2概率	功能2字段1	功能2字段2	功能2字段3	功能2字段4	属性类型	属性基础值	属性加成值	动作	被动触发类型	被动触发条件	被动触发概率
id	name	icon	descrip	limitLv	heroPerLv	costGoldRule	shortDescrip	upLevelDescrip	type	hitDamageType	magicDamage	magicWeight	ReleaseSkillGetPower	maxSkillConsume	range	multiTargetRange	startCoolTime	coolTime	sProb	s1Id	s1Prob	s1Attr1	s1Attr2	s1Attr3	s1Attr4	s2Id	s2Prob	s2Attr1	s2Attr2	s2Attr3	s2Attr4	attrType	attrBase	attrRise	aniName	passiveTriggerType	passiveTriggerCondition	passiveTriggerProbability
10100	普攻			70	1	0			物理伤害	0	0	0	0	0	1.5	0	0	0	0																attack1			
10101	死亡缠绕	skill1113	释放一个亡魂，对前方敌人造成{magicDamage}伤害	70	1	skillwhitegold	对前方造成{magicDamage}伤害		物理伤害	0	58&58	0.5	0	0	6	1.5	3.5	18	2													attBase	12.89	12.89				
10102	凛风冲击	skill1012	向前方冲锋，对碰到的敌人造成{magicDamage}点伤害,附带减速50%，持续3秒。	70	1	skillgreengold	冲锋前方{magicDamage}点伤害，同时减速		物理伤害	0	82&82	0.7	0	800	5	4	0	0	2	1	1	attSpeProp	1	3	-0.5	1	1	spe	1	3	0.5	attBase	13.12	13.12				
10103	寒霜之剑	skill1013	攻击时有概率吸取敌方单体{s1Attr2}生命	70	1	skillgreengold	攻击时有概率吸取敌方单体{s1Attr2}生命		单体吸血	0	0	0	0	0	1.5	0	0	0	2	3	1	0.1	50&50	0.1		2	1	0.1	50&50	0.1	1	attBase	16.45	16.45	attack			
10104	无光之盾	skill1016	变身时给自己施加一个无光之盾，可吸收{s1Attr2}点伤害，持续{s1Attr1}秒	70	1	skillgreengold	为自己施加伤害吸收护盾，减免{s1Attr2}点伤害		自身护盾	2	0	0	100	0	8	12	0	0	2	15	1	10	350&350	0	2							hpBase	350	350	s_attack2			
10105	寒冰爆裂	skill1011	将寒冰剑插入地面，冻结周围的敌人{s1Attr1}秒，并造成{magicDamage}点伤害	70	1	skillgreengold	范围伤害{magicDamage}点，且冰冻1.5秒		物理伤害	0	30&30	0.25	50	0	3	4	0	0	2	14	1	1.5										attBase	22.5	22.5	attack2			
10200	普攻			70	1	0			法术伤害	1	0	0	0	0	5.5	0	0	0	0																attack1			
10201	闪电链	skill1021	释放一个跳跃{s1Attr2}次的闪电链，每次造成{magicDamage}点法术伤害	70	1	skillwhitegold	对多个敌人造成{magicDamage}点伤害		法术伤害	1	90&90	0.6	100	0	6	2	2.5	13	2	13	1	6	3									magicStr	27.69	27.69				
10202	雷罚	skill1022	召唤雷罚，砸向前方目标造成{magicDamage}点伤害，并眩晕{s1Attr1}秒	70	1	skillgreengold	目标范围伤害{magicDamage}点，同时眩晕		法术伤害	1	130&130	0.85	0	800	8	4	0	0	2	4	1	0.5										magicStr	20.8	20.8				
10203	落雷	skill1023	召唤落雷，对敌人造成{s1Attr2}点伤害,并眩晕{s1Attr1}秒	70	1	skillgreengold	召唤落雷对敌人造成{s1Attr2}伤害，同时眩晕		法术伤害	0	0	0	0	0	5.5	0	0	0	2	16	1	1	75&75	0.5		4	1	0.5				magicStr	30	30	attack			
10204	静电力场	skill1025	变身时释放静电力场，对周围敌方单位造成{magicDamage}点伤害	70	1	skillgreengold	变身时对周身造成{magicDamage}伤害		法术伤害	1	103&103	0.7	0	0	999	8	0	0	2													magicStr	16.48	16.48	s_attack2			
10300	普攻			70	1	0			法术伤害	1	0	0	0	0	6	0	0	0	0																attack1			
10301	甘沐之风	skill1031	治疗周围友方单位，恢复共计{s1Attr2}点血量	70	1	skillwhitegold	回复全体友方{s1Attr2}血量		全体治疗	2	0	0.87	100	0	8	20	3.5	15	2	2	1	0.1	70&70	0.1	0							hpBase	700	700				
